"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","216","passes","template spec","Sun Dec 14 08:47:32 UTC 2025","passed","Sun Dec 14 08:47:32 UTC 2025","","","",""
"","15517","Place order from the main page","","Sun Dec 14 08:46:45 UTC 2025","passed","Sun Dec 14 08:47:01 UTC 2025","","","",""
"","2602","Auth with incorrect login","Registration not valid  test suite","Sun Dec 14 08:46:07 UTC 2025","passed","Sun Dec 14 08:46:09 UTC 2025","","","",""
"","2586","Auth with incorrect pass","Registration not valid  test suite","Sun Dec 14 08:45:50 UTC 2025","passed","Sun Dec 14 08:45:53 UTC 2025","","","",""
"","2305","Auth with empty login","Registration not valid  test suite","Sun Dec 14 08:46:10 UTC 2025","passed","Sun Dec 14 08:46:12 UTC 2025","","","",""
"","2697","Auth with incorrect pass","Registration not valid  test suite","Sun Dec 14 08:46:13 UTC 2025","passed","Sun Dec 14 08:46:16 UTC 2025","","","",""
"","10973","Registration with valid data","Registration test suite","Sun Dec 14 08:47:13 UTC 2025","passed","Sun Dec 14 08:47:24 UTC 2025","","","",""
"","7366","Auth with valid data","","Sun Dec 14 08:45:36 UTC 2025","passed","Sun Dec 14 08:45:43 UTC 2025","","","",""
"","3584","Auth with valid data","Registration test suite","Sun Dec 14 08:47:24 UTC 2025","passed","Sun Dec 14 08:47:28 UTC 2025","","","",""
"","5470","Auth with valid data","","Sun Dec 14 08:46:01 UTC 2025","passed","Sun Dec 14 08:46:07 UTC 2025","","","",""
"","2432","Auth with empty login","Registration not valid  test suite","Sun Dec 14 08:45:47 UTC 2025","passed","Sun Dec 14 08:45:49 UTC 2025","","","",""
"","2410","Auth with empty pass","Registration not valid  test suite","Sun Dec 14 08:46:16 UTC 2025","passed","Sun Dec 14 08:46:19 UTC 2025","","","",""
"","3024","User cannot login with empty password","Registration not valid  test suite","Sun Dec 14 08:46:19 UTC 2025","passed","Sun Dec 14 08:46:22 UTC 2025","","","",""
"","2780","Auth with incorrect login","Registration not valid  test suite","Sun Dec 14 08:45:43 UTC 2025","passed","Sun Dec 14 08:45:46 UTC 2025","","","",""
"","2362","Auth with empty pass","Registration not valid  test suite","Sun Dec 14 08:45:53 UTC 2025","passed","Sun Dec 14 08:45:56 UTC 2025","","","",""
"","12294","Place order from the main page","","Sun Dec 14 08:46:30 UTC 2025","failed","Sun Dec 14 08:46:43 UTC 2025","","","",""
"","5245","Auth with valid data","Registration test suite","Sun Dec 14 08:47:03 UTC 2025","passed","Sun Dec 14 08:47:08 UTC 2025","","","",""
"","5278","Registration with valid data","Registration test suite","Sun Dec 14 08:47:03 UTC 2025","skipped","Sun Dec 14 08:47:08 UTC 2025","","","",""
